algorithm_name,size,solution,generations,time,conflicts
genetic2,8,"[5, 3, 1, 6, 5, 2, 3, 7]",999,12.968554019927979,6
hill_climbing,8,"[4, 6, 1, 2, 5, 7, 0, 3]",224,0.0013394355773925781,1
simulated_annealing,8,"[1, 6, 2, 5, 7, 4, 0, 3]",41,0.0012485980987548828,0
genetic,8,"[4, 6, 0, 2, 7, 5, 3, 1]",653,8.93356728553772,0
genetic2,8,"[6, 4, 2, 5, 6, 6, 3, 0]",999,13.057617902755737,4
hill_climbing,8,"[7, 4, 1, 5, 2, 0, 6, 3]",224,0.0013327598571777344,1
simulated_annealing,8,"[4, 0, 3, 5, 7, 1, 6, 2]",353,0.01073145866394043,0
genetic,8,"[2, 5, 1, 6, 0, 3, 7, 4]",104,1.4068007469177246,0
genetic2,8,"[4, 1, 7, 4, 3, 0, 0, 2]",999,13.105656623840332,5
hill_climbing,8,"[5, 3, 0, 7, 3, 6, 2, 1]",168,0.0009911060333251953,2
simulated_annealing,8,"[4, 1, 3, 5, 7, 2, 0, 6]",279,0.008514165878295898,0
genetic,8,"[5, 2, 6, 3, 0, 7, 1, 4]",518,7.073887825012207,0
genetic2,8,"[3, 6, 2, 0, 2, 7, 3, 3]",999,12.961454629898071,6
hill_climbing,8,"[5, 0, 0, 7, 6, 2, 3, 1]",168,0.0010004043579101562,3
simulated_annealing,8,"[3, 5, 7, 1, 6, 0, 2, 4]",307,0.009331226348876953,0
genetic,8,"[6, 3, 1, 4, 7, 0, 2, 5]",589,7.992867469787598,0
genetic2,8,"[3, 3, 1, 3, 5, 7, 2, 4]",999,12.966786623001099,5
hill_climbing,8,"[6, 0, 5, 7, 1, 3, 6, 2]",280,0.001596212387084961,1
simulated_annealing,8,"[4, 2, 0, 6, 1, 7, 5, 3]",517,0.01582932472229004,0
genetic,8,"[3, 7, 2, 5, 2, 6, 3, 0]",1000,13.60648798942566,3
genetic2,8,"[6, 2, 7, 3, 6, 2, 5, 6]",999,12.992839336395264,6
hill_climbing,8,"[3, 1, 4, 2, 0, 6, 7, 5]",168,0.0010175704956054688,1
simulated_annealing,8,"[3, 0, 4, 7, 1, 6, 2, 5]",560,0.017210721969604492,0
genetic,8,"[4, 1, 7, 0, 3, 6, 2, 5]",403,5.470185279846191,0
genetic2,8,"[5, 2, 4, 7, 0, 3, 1, 6]",121,1.6020452976226807,0
hill_climbing,8,"[2, 0, 6, 3, 1, 4, 7, 5]",224,0.001352071762084961,1
simulated_annealing,8,"[3, 6, 4, 2, 0, 5, 7, 1]",43,0.0013189315795898438,0
genetic,8,"[6, 4, 0, 2, 5, 7, 2, 3]",1000,13.5990629196167,3
genetic2,8,"[2, 2, 7, 1, 6, 0, 2, 5]",999,12.96384882926941,5
hill_climbing,8,"[4, 1, 1, 6, 2, 3, 7, 0]",280,0.0016503334045410156,2
simulated_annealing,8,"[4, 6, 1, 5, 2, 0, 7, 3]",382,0.011748075485229492,0
genetic,8,"[2, 5, 3, 1, 7, 4, 6, 0]",29,0.39278364181518555,0
genetic2,8,"[1, 1, 4, 1, 5, 2, 2, 3]",999,12.966674089431763,6
hill_climbing,10,"[9, 7, 3, 1, 8, 5, 9, 6, 0, 2]",450,0.003969669342041016,2
simulated_annealing,10,"[7, 4, 6, 9, 2, 5, 8, 1, 3, 0]",1000,0.04789900779724121,1
genetic,10,"[0, 7, 5, 2, 6, 8, 0, 4, 9, 7]",1000,14.348522663116455,3
genetic2,10,"[5, 0, 1, 4, 4, 5, 8, 2, 7, 7]",999,13.56944751739502,7
hill_climbing,10,"[6, 8, 1, 7, 9, 0, 2, 4, 8, 3]",540,0.0047321319580078125,1
simulated_annealing,10,"[5, 7, 2, 4, 8, 1, 9, 6, 3, 0]",298,0.013864517211914062,0
genetic,10,"[7, 5, 3, 9, 0, 8, 9, 7, 1, 7]",1000,14.213685035705566,5
